run_name,level,problem_id,problem_name,operator_type,iteration,compiled,correctness,runtime_us,ref_runtime_us,speedup,best_speedup_so_far,runtime_std_us,runtime_min_us,runtime_max_us,elapsed_sec,kernel_path,error_keys,failure_mode
h100_iter_strict_level1,1,1,1_Square_matrix_multiplication_.py,matmul,0,True,True,15.3,2.66,0.1738562091503268,0.1738562091503268,0.00525,15.3,15.3,100.95138120651245,runs/h100_iter_strict_level1/level_1_problem_1_iter_0_kernel.py,correctness_trials;device;hardware,
h100_iter_strict_level1,1,1,1_Square_matrix_multiplication_.py,matmul,1,True,False,-1.0,2.66,,0.1738562091503268,,,,105.55377459526062,runs/h100_iter_strict_level1/level_1_problem_1_iter_1_kernel.py,avg_difference;correctness_issue;correctness_trials;device;hardware;max_difference,wrong_answer
h100_iter_strict_level1,1,1,1_Square_matrix_multiplication_.py,matmul,2,True,True,16.9,2.66,0.15739644970414204,0.1738562091503268,0.0355,16.8,17.0,100.34396290779114,runs/h100_iter_strict_level1/level_1_problem_1_iter_2_kernel.py,correctness_trials;device;hardware,
h100_iter_strict_level1,1,6,6_Matmul_with_large_K_dimension_.py,matmul,0,False,False,-1.0,-1.0,,,,,,8.449088335037231,runs/h100_iter_strict_level1/level_1_problem_6_iter_0_kernel.py,static_check_error;static_check_warnings,constraint_violation
h100_iter_strict_level1,1,6,6_Matmul_with_large_K_dimension_.py,matmul,1,True,True,37.7,1.3,0.034482758620689655,0.034482758620689655,0.0164,37.7,37.7,101.33595442771912,runs/h100_iter_strict_level1/level_1_problem_6_iter_1_kernel.py,correctness_trials;device;hardware,
h100_iter_strict_level1,1,6,6_Matmul_with_large_K_dimension_.py,matmul,2,True,False,-1.0,1.3,,0.034482758620689655,,,,106.36961126327515,runs/h100_iter_strict_level1/level_1_problem_6_iter_2_kernel.py,avg_difference;correctness_issue;correctness_trials;device;hardware;max_difference,wrong_answer
h100_iter_strict_level1,1,19,19_ReLU.py,activation,0,True,True,4.76,4.45,0.934873949579832,0.934873949579832,0.265,4.67,5.55,131.34721660614014,runs/h100_iter_strict_level1/level_1_problem_19_iter_0_kernel.py,correctness_trials;device;hardware,
h100_iter_strict_level1,1,19,19_ReLU.py,activation,1,True,True,4.63,4.45,0.961123110151188,0.961123110151188,0.326,4.52,5.61,135.02012968063354,runs/h100_iter_strict_level1/level_1_problem_19_iter_1_kernel.py,correctness_trials;device;hardware,
h100_iter_strict_level1,1,19,19_ReLU.py,activation,2,True,True,4.56,4.56,1.0,1.0,0.384,4.43,5.72,130.7875370979309,runs/h100_iter_strict_level1/level_1_problem_19_iter_2_kernel.py,correctness_trials;device;hardware,
h100_iter_strict_level1,1,33,33_BatchNorm.py,normalization,0,False,False,-1.0,-1.0,,,,,,109.3796501159668,runs/h100_iter_strict_level1/level_1_problem_33_iter_0_kernel.py,eval_exception,eval_exception
h100_iter_strict_level1,1,33,33_BatchNorm.py,normalization,1,False,False,-1.0,-1.0,,,,,,10.49992847442627,runs/h100_iter_strict_level1/level_1_problem_33_iter_1_kernel.py,eval_exception,eval_exception
h100_iter_strict_level1,1,33,33_BatchNorm.py,normalization,2,False,False,-1.0,-1.0,,,,,,8.164103031158447,runs/h100_iter_strict_level1/level_1_problem_33_iter_2_kernel.py,eval_exception,eval_exception
h100_iter_strict_level1,1,41,41_Max_Pooling_1D.py,pooling,0,False,False,-1.0,-1.0,,,,,,8.1113760471344,runs/h100_iter_strict_level1/level_1_problem_41_iter_0_kernel.py,eval_exception,eval_exception
h100_iter_strict_level1,1,41,41_Max_Pooling_1D.py,pooling,1,False,False,-1.0,-1.0,,,,,,8.646009922027588,runs/h100_iter_strict_level1/level_1_problem_41_iter_1_kernel.py,eval_exception,eval_exception
h100_iter_strict_level1,1,41,41_Max_Pooling_1D.py,pooling,2,False,False,-1.0,-1.0,,,,,,7.582845449447632,runs/h100_iter_strict_level1/level_1_problem_41_iter_2_kernel.py,eval_exception,eval_exception
